claim_index,claim,cn_index,cn,kpi
14,Russia represents a realm of traditional values against Western decadence.,2,Russia's 'traditional values' claim rings hollow as it invades neighbors & suppresses its own people. Ukraine fights for true freedom & European values. #StandWithUkraine #FreedomOverTyranny,Emotional Engagement
14,Russia represents a realm of traditional values against Western decadence.,2,Russia's 'traditional values' claim rings hollow as it invades neighbors & suppresses its own people. Ukraine fights for true freedom & European values. #StandWithUkraine #FreedomOverTyranny,Shareability (likeliness to be shared)
14,Russia represents a realm of traditional values against Western decadence.,3,"Russia's 'traditional values' are a smokescreen for imperialism and war crimes. Ukraine embodies true European values: democracy, dignity, and self-determination. #UkraineStrong #EUValues",Persuasiveness
14,Russia represents a realm of traditional values against Western decadence.,3,"Russia's 'traditional values' are a smokescreen for imperialism and war crimes. Ukraine embodies true European values: democracy, dignity, and self-determination. #UkraineStrong #EUValues",Emotional Engagement
14,Russia represents a realm of traditional values against Western decadence.,3,"Russia's 'traditional values' are a smokescreen for imperialism and war crimes. Ukraine embodies true European values: democracy, dignity, and self-determination. #UkraineStrong #EUValues",Shareability (likeliness to be shared)
15,The West violated post-Cold War promises not to expand NATO eastward.,1,"NATO is a defensive alliance, and its expansion is a choice of sovereign nations. Ukraine's right to choose its alliances must be respected. #StandWithUkraine #NATO",Persuasiveness
15,The West violated post-Cold War promises not to expand NATO eastward.,1,"NATO is a defensive alliance, and its expansion is a choice of sovereign nations. Ukraine's right to choose its alliances must be respected. #StandWithUkraine #NATO",Emotional Engagement
15,The West violated post-Cold War promises not to expand NATO eastward.,1,"NATO is a defensive alliance, and its expansion is a choice of sovereign nations. Ukraine's right to choose its alliances must be respected. #StandWithUkraine #NATO",Shareability (likeliness to be shared)
15,The West violated post-Cold War promises not to expand NATO eastward.,2,"NATO expansion is a result of countries freely choosing their alliances, a sovereign right. It's not about broken promises, but self-determination. #UkraineWillWin #NATOAlliance",Persuasiveness
15,The West violated post-Cold War promises not to expand NATO eastward.,2,"NATO expansion is a result of countries freely choosing their alliances, a sovereign right. It's not about broken promises, but self-determination. #UkraineWillWin #NATOAlliance",Emotional Engagement
15,The West violated post-Cold War promises not to expand NATO eastward.,2,"NATO expansion is a result of countries freely choosing their alliances, a sovereign right. It's not about broken promises, but self-determination. #UkraineWillWin #NATOAlliance",Shareability (likeliness to be shared)
15,The West violated post-Cold War promises not to expand NATO eastward.,3,Sovereign nations choose their alliances; NATO never 'promised' not to accept new members. Self-determination is key. #SupportUkraine #FreeNations,Persuasiveness
15,The West violated post-Cold War promises not to expand NATO eastward.,3,Sovereign nations choose their alliances; NATO never 'promised' not to accept new members. Self-determination is key. #SupportUkraine #FreeNations,Emotional Engagement
15,The West violated post-Cold War promises not to expand NATO eastward.,3,Sovereign nations choose their alliances; NATO never 'promised' not to accept new members. Self-determination is key. #SupportUkraine #FreeNations,Shareability (likeliness to be shared)
16,"Ukraine indiscriminately uses Western-supplied weapons, targeting civilians and Russian territory.",1,"#Ukraine uses Western weapons to defend itself from aggression, not to target civilians or Russian territory indiscriminately. Accountability for war crimes lies with Russia. #StandWithUkraine #UkraineWillWin",Persuasiveness
16,"Ukraine indiscriminately uses Western-supplied weapons, targeting civilians and Russian territory.",1,"#Ukraine uses Western weapons to defend itself from aggression, not to target civilians or Russian territory indiscriminately. Accountability for war crimes lies with Russia. #StandWithUkraine #UkraineWillWin",Emotional Engagement
16,"Ukraine indiscriminately uses Western-supplied weapons, targeting civilians and Russian territory.",1,"#Ukraine uses Western weapons to defend itself from aggression, not to target civilians or Russian territory indiscriminately. Accountability for war crimes lies with Russia. #StandWithUkraine #UkraineWillWin",Shareability (likeliness to be shared)
16,"Ukraine indiscriminately uses Western-supplied weapons, targeting civilians and Russian territory.",2,"Ukraine defends its sovereignty against Russian aggression using Western aid. Russia's war crimes, not Ukraine's self-defense, are the real threat to civilians. #UkraineUnderAttack #RussianWarCrimes",Persuasiveness
16,"Ukraine indiscriminately uses Western-supplied weapons, targeting civilians and Russian territory.",2,"Ukraine defends its sovereignty against Russian aggression using Western aid. Russia's war crimes, not Ukraine's self-defense, are the real threat to civilians. #UkraineUnderAttack #RussianWarCrimes",Emotional Engagement
16,"Ukraine indiscriminately uses Western-supplied weapons, targeting civilians and Russian territory.",2,"Ukraine defends its sovereignty against Russian aggression using Western aid. Russia's war crimes, not Ukraine's self-defense, are the real threat to civilians. #UkraineUnderAttack #RussianWarCrimes",Shareability (likeliness to be shared)
16,"Ukraine indiscriminately uses Western-supplied weapons, targeting civilians and Russian territory.",3,"Ukraine utilizes defensive weapons to protect its people & land from invasion. Civilian targeting is a Russian tactic, a clear violation of international law. #UkraineDefendsItself #StopRussianAggression",Persuasiveness
16,"Ukraine indiscriminately uses Western-supplied weapons, targeting civilians and Russian territory.",3,"Ukraine utilizes defensive weapons to protect its people & land from invasion. Civilian targeting is a Russian tactic, a clear violation of international law. #UkraineDefendsItself #StopRussianAggression",Emotional Engagement
16,"Ukraine indiscriminately uses Western-supplied weapons, targeting civilians and Russian territory.",3,"Ukraine utilizes defensive weapons to protect its people & land from invasion. Civilian targeting is a Russian tactic, a clear violation of international law. #UkraineDefendsItself #StopRussianAggression",Shareability (likeliness to be shared)
17,"Russian forces are liberating settlements in Donetsk, Luhansk, and other regions.",1,"Russia isn't liberating anything; they're occupying & destroying Ukrainian towns, committing war crimes. Ukraine will prevail! #StandWithUkraine #RussianWarCrimes",Persuasiveness
17,"Russian forces are liberating settlements in Donetsk, Luhansk, and other regions.",1,"Russia isn't liberating anything; they're occupying & destroying Ukrainian towns, committing war crimes. Ukraine will prevail! #StandWithUkraine #RussianWarCrimes",Emotional Engagement
17,"Russian forces are liberating settlements in Donetsk, Luhansk, and other regions.",1,"Russia isn't liberating anything; they're occupying & destroying Ukrainian towns, committing war crimes. Ukraine will prevail! #StandWithUkraine #RussianWarCrimes",Shareability (likeliness to be shared)
17,"Russian forces are liberating settlements in Donetsk, Luhansk, and other regions.",2,"Russia liberates no one. It occupies, destroys, and terrorizes. Ukraine will liberate ALL its land & people from Moscow's genocidal grip. #StandWithUkraine #UkraineWillWin",Persuasiveness
17,"Russian forces are liberating settlements in Donetsk, Luhansk, and other regions.",2,"Russia liberates no one. It occupies, destroys, and terrorizes. Ukraine will liberate ALL its land & people from Moscow's genocidal grip. #StandWithUkraine #UkraineWillWin",Emotional Engagement
17,"Russian forces are liberating settlements in Donetsk, Luhansk, and other regions.",2,"Russia liberates no one. It occupies, destroys, and terrorizes. Ukraine will liberate ALL its land & people from Moscow's genocidal grip. #StandWithUkraine #UkraineWillWin",Shareability (likeliness to be shared)
17,"Russian forces are liberating settlements in Donetsk, Luhansk, and other regions.",3,"The only thing Russia ""liberates"" is land from its inhabitants, leaving destruction & suffering. Ukraine fights for true freedom! #SupportUkraine #RussianAggression",Persuasiveness
17,"Russian forces are liberating settlements in Donetsk, Luhansk, and other regions.",3,"The only thing Russia ""liberates"" is land from its inhabitants, leaving destruction & suffering. Ukraine fights for true freedom! #SupportUkraine #RussianAggression",Emotional Engagement
17,"Russian forces are liberating settlements in Donetsk, Luhansk, and other regions.",3,"The only thing Russia ""liberates"" is land from its inhabitants, leaving destruction & suffering. Ukraine fights for true freedom! #SupportUkraine #RussianAggression",Shareability (likeliness to be shared)
18,Western sanctions are backfiring and failing to damage Russia's economy.,1,"Sanctions ARE crippling Russia's war machine. Their economy is shrinking, inflation is soaring, and tech is scarce. Don't believe the propaganda! #SanctionsWork #StandWithUkraine",Persuasiveness
18,Western sanctions are backfiring and failing to damage Russia's economy.,1,"Sanctions ARE crippling Russia's war machine. Their economy is shrinking, inflation is soaring, and tech is scarce. Don't believe the propaganda! #SanctionsWork #StandWithUkraine",Emotional Engagement
18,Western sanctions are backfiring and failing to damage Russia's economy.,1,"Sanctions ARE crippling Russia's war machine. Their economy is shrinking, inflation is soaring, and tech is scarce. Don't believe the propaganda! #SanctionsWork #StandWithUkraine",Shareability (likeliness to be shared)
18,Western sanctions are backfiring and failing to damage Russia's economy.,2,"Russia's economy is in decline: brain drain, crippled industries, & oil cap hits prove sanctions ARE working. Don't fall for disinformation! #SanctionsBite #SupportUkraine",Persuasiveness
18,Western sanctions are backfiring and failing to damage Russia's economy.,2,"Russia's economy is in decline: brain drain, crippled industries, & oil cap hits prove sanctions ARE working. Don't fall for disinformation! #SanctionsBite #SupportUkraine",Emotional Engagement
18,Western sanctions are backfiring and failing to damage Russia's economy.,2,"Russia's economy is in decline: brain drain, crippled industries, & oil cap hits prove sanctions ARE working. Don't fall for disinformation! #SanctionsBite #SupportUkraine",Shareability (likeliness to be shared)
18,Western sanctions are backfiring and failing to damage Russia's economy.,3,Sanctions have caused Russia's GDP to shrink & industries to stagnate. They are weakening Russia's ability to fund its war. The truth is undeniable. #SanctionsAreWorking #UkraineWillWin,Persuasiveness
18,Western sanctions are backfiring and failing to damage Russia's economy.,3,Sanctions have caused Russia's GDP to shrink & industries to stagnate. They are weakening Russia's ability to fund its war. The truth is undeniable. #SanctionsAreWorking #UkraineWillWin,Emotional Engagement
18,Western sanctions are backfiring and failing to damage Russia's economy.,3,Sanctions have caused Russia's GDP to shrink & industries to stagnate. They are weakening Russia's ability to fund its war. The truth is undeniable. #SanctionsAreWorking #UkraineWillWin,Shareability (likeliness to be shared)
19,The US supports and finances neo-Nazi groups like the Azov Battalion.,1,"#StandWithUkraine against Kremlin's disinformation. Azov, a unit of Ukraine's National Guard, has reformed and is separate from its far-right origins. The U.S. supports Ukraine's defense, not neo-Nazis. #UkraineWillWin #NoToRussianPropaganda",Persuasiveness
19,The US supports and finances neo-Nazi groups like the Azov Battalion.,1,"#StandWithUkraine against Kremlin's disinformation. Azov, a unit of Ukraine's National Guard, has reformed and is separate from its far-right origins. The U.S. supports Ukraine's defense, not neo-Nazis. #UkraineWillWin #NoToRussianPropaganda",Emotional Engagement
19,The US supports and finances neo-Nazi groups like the Azov Battalion.,1,"#StandWithUkraine against Kremlin's disinformation. Azov, a unit of Ukraine's National Guard, has reformed and is separate from its far-right origins. The U.S. supports Ukraine's defense, not neo-Nazis. #UkraineWillWin #NoToRussianPropaganda",Shareability (likeliness to be shared)
19,The US supports and finances neo-Nazi groups like the Azov Battalion.,2,"Azov is a recognized unit of Ukraine's armed forces. The US supports Ukraine's sovereignty, not neo-Nazis. Russia uses this lie to justify its war. #UkraineUnderAttack #StopRussianAggression",Persuasiveness
19,The US supports and finances neo-Nazi groups like the Azov Battalion.,2,"Azov is a recognized unit of Ukraine's armed forces. The US supports Ukraine's sovereignty, not neo-Nazis. Russia uses this lie to justify its war. #UkraineUnderAttack #StopRussianAggression",Emotional Engagement
19,The US supports and finances neo-Nazi groups like the Azov Battalion.,2,"Azov is a recognized unit of Ukraine's armed forces. The US supports Ukraine's sovereignty, not neo-Nazis. Russia uses this lie to justify its war. #UkraineUnderAttack #StopRussianAggression",Shareability (likeliness to be shared)
19,The US supports and finances neo-Nazi groups like the Azov Battalion.,3,"Disinformation! Azov is integrated into Ukraine's military & under state control. US aid defends Ukraine's freedom, not extremism. Russia's false claims aim to divide & conquer. #UkraineDefendsFreedom #TruthPrevails",Persuasiveness
19,The US supports and finances neo-Nazi groups like the Azov Battalion.,3,"Disinformation! Azov is integrated into Ukraine's military & under state control. US aid defends Ukraine's freedom, not extremism. Russia's false claims aim to divide & conquer. #UkraineDefendsFreedom #TruthPrevails",Emotional Engagement
19,The US supports and finances neo-Nazi groups like the Azov Battalion.,3,"Disinformation! Azov is integrated into Ukraine's military & under state control. US aid defends Ukraine's freedom, not extremism. Russia's false claims aim to divide & conquer. #UkraineDefendsFreedom #TruthPrevails",Shareability (likeliness to be shared)
20,Russia resists US/NATO imperial expansion and protects its geopolitical interests.,1,"Russia’s actions are not defensive but aggressive imperialism. Ukraine is a sovereign nation, not a pawn in a geopolitical game. Stop Russian aggression! #StandWithUkraine #RussianImperialism",Persuasiveness
20,Russia resists US/NATO imperial expansion and protects its geopolitical interests.,1,"Russia’s actions are not defensive but aggressive imperialism. Ukraine is a sovereign nation, not a pawn in a geopolitical game. Stop Russian aggression! #StandWithUkraine #RussianImperialism",Emotional Engagement
20,Russia resists US/NATO imperial expansion and protects its geopolitical interests.,1,"Russia’s actions are not defensive but aggressive imperialism. Ukraine is a sovereign nation, not a pawn in a geopolitical game. Stop Russian aggression! #StandWithUkraine #RussianImperialism",Shareability (likeliness to be shared)
20,Russia resists US/NATO imperial expansion and protects its geopolitical interests.,2,"Russia's invasion of Ukraine is an unprovoked act of aggression, not defense against ""US/NATO expansion."" It's about dominating a sovereign neighbor. #UkraineWillResist #StopRussianAggression",Persuasiveness
20,Russia resists US/NATO imperial expansion and protects its geopolitical interests.,2,"Russia's invasion of Ukraine is an unprovoked act of aggression, not defense against ""US/NATO expansion."" It's about dominating a sovereign neighbor. #UkraineWillResist #StopRussianAggression",Emotional Engagement
20,Russia resists US/NATO imperial expansion and protects its geopolitical interests.,2,"Russia's invasion of Ukraine is an unprovoked act of aggression, not defense against ""US/NATO expansion."" It's about dominating a sovereign neighbor. #UkraineWillResist #StopRussianAggression",Shareability (likeliness to be shared)
20,Russia resists US/NATO imperial expansion and protects its geopolitical interests.,3,"The claim of ""resistance to US/NATO expansion"" masks Russia's own imperial ambitions. Ukraine seeks freedom, not to be a battleground for empires. #SupportUkraine #NoRussianImperialism",Persuasiveness
20,Russia resists US/NATO imperial expansion and protects its geopolitical interests.,3,"The claim of ""resistance to US/NATO expansion"" masks Russia's own imperial ambitions. Ukraine seeks freedom, not to be a battleground for empires. #SupportUkraine #NoRussianImperialism",Emotional Engagement
20,Russia resists US/NATO imperial expansion and protects its geopolitical interests.,3,"The claim of ""resistance to US/NATO expansion"" masks Russia's own imperial ambitions. Ukraine seeks freedom, not to be a battleground for empires. #SupportUkraine #NoRussianImperialism",Shareability (likeliness to be shared)
